negative,neutral,positive,compound
0.0,0.769,0.231,0.2023
0.535,0.465,0.0,-0.5574
0.202,0.798,0.0,-0.5106
0.191,0.809,0.0,-0.3818
0.0,0.55,0.45,0.5994
0.0,0.625,0.375,0.5574
0.53,0.47,0.0,-0.836
0.722,0.278,0.0,-0.3818
0.0,0.872,0.128,0.296
0.646,0.354,0.0,-0.8074
0.157,0.683,0.161,0.0258
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.128,0.872,0.7783
0.0,1.0,0.0,0.0
0.722,0.278,0.0,-0.3818
0.0,1.0,0.0,0.0
0.297,0.545,0.158,-0.4215
0.0,0.58,0.42,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.184,0.816,0.0,-0.4019
0.13,0.87,0.0,-0.2023
0.0,0.642,0.358,0.7717
0.0,1.0,0.0,0.0
0.529,0.471,0.0,-0.7906
0.0,0.679,0.321,0.6369
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.529,0.471,0.0,-0.7906
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.562,0.438,0.7783
0.0,0.698,0.302,0.0772
0.0,1.0,0.0,0.0
0.0,0.556,0.444,0.6808
0.0,1.0,0.0,0.0
0.0,0.838,0.162,0.4023
0.233,0.56,0.207,-0.1531
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.762,0.238,0.7351
0.105,0.814,0.082,-0.1506
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.168,0.56,0.272,0.34
0.0,0.885,0.115,0.1531
0.0,1.0,0.0,0.0
0.524,0.476,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.777,0.223,0.3182
0.0,1.0,0.0,0.0
0.0,0.435,0.565,0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.778,0.222,0.0,-0.5423
0.333,0.667,0.0,-0.3612
0.0,1.0,0.0,0.0
0.524,0.476,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.459,0.541,0.0,-0.6249
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.279,0.721,0.0,-0.4767
0.0,1.0,0.0,0.0
0.783,0.217,0.0,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.064,0.892,0.043,-0.2168
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.688,0.312,0.0,-0.5267
0.0,1.0,0.0,0.0
0.189,0.811,0.0,-0.1027
0.31,0.69,0.0,-0.4019
0.524,0.476,0.0,-0.5106
0.0,0.656,0.344,0.4939
0.423,0.577,0.0,-0.296
0.0,1.0,0.0,0.0
0.096,0.809,0.096,0.0
0.0,1.0,0.0,0.0
0.0,0.426,0.574,0.4019
0.365,0.635,0.0,-0.7841
0.0,1.0,0.0,0.0
0.091,0.537,0.372,0.7783
0.069,0.781,0.15,0.3818
0.091,0.909,0.0,-0.1027
0.103,0.187,0.71,0.9184
0.0,1.0,0.0,0.0
0.545,0.455,0.0,-0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.07,0.842,0.088,0.128
0.0,0.692,0.308,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.706,0.294,0.3612
0.0,0.455,0.545,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.402,0.598,0.0,-0.5719
0.0,1.0,0.0,0.0
0.0,0.88,0.12,0.25
0.0,0.667,0.333,0.3612
0.0,1.0,0.0,0.0
0.247,0.639,0.114,-0.4404
0.0,0.888,0.112,0.2263
0.0,1.0,0.0,0.0
0.0,0.764,0.236,0.6249
0.175,0.718,0.107,-0.5423
0.0,1.0,0.0,0.0
0.103,0.802,0.095,-0.0516
0.085,0.423,0.492,0.91
0.0,0.734,0.266,0.5719
0.088,0.748,0.163,0.2732
0.0,0.426,0.574,0.4019
0.31,0.69,0.0,-0.4019
0.0,0.738,0.262,0.4404
0.0,0.798,0.202,0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.938,0.062,0.1531
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.574,0.426,0.0,-0.4019
0.151,0.849,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.745,0.255,0.5859
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.811,0.189,0.6369
0.0,1.0,0.0,0.0
0.0,0.444,0.556,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.222,0.459,0.319,0.1743
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,-0.1027
0.0,1.0,0.0,0.0
0.474,0.526,0.0,-0.3818
0.241,0.667,0.092,-0.5719
0.0,0.888,0.112,0.4404
0.756,0.244,0.0,-0.7351
0.0,1.0,0.0,0.0
0.0,0.826,0.174,0.2263
0.0,0.85,0.15,0.3182
0.0,0.64,0.36,0.7351
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.455,0.545,0.0,-0.3612
0.099,0.676,0.225,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.123,0.877,0.0,-0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.185,0.815,0.0,-0.3612
0.0,0.722,0.278,0.4019
0.442,0.558,0.0,-0.4512
0.0,1.0,0.0,0.0
0.0,0.256,0.744,0.7003
0.046,0.857,0.096,0.34
0.413,0.451,0.135,-0.8934
0.0,1.0,0.0,0.0
0.245,0.545,0.209,-0.1027
0.0,0.566,0.434,0.3182
0.0,1.0,0.0,0.0
0.0,0.738,0.262,0.8001
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.135,0.865,0.0,-0.1027
0.627,0.373,0.0,-0.7213
0.083,0.59,0.328,0.7375
0.643,0.357,0.0,-0.6597
0.0,0.488,0.512,0.6369
0.167,0.833,0.0,-0.1027
0.351,0.649,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.123,0.578,0.299,0.552
0.0,1.0,0.0,0.0
0.333,0.667,0.0,-0.3612
0.0,1.0,0.0,0.0
0.767,0.233,0.0,-0.765
0.0,0.698,0.302,0.0772
0.0,0.796,0.204,0.3182
0.0,0.782,0.218,0.6908
0.0,0.754,0.246,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.083,0.59,0.328,0.7375
0.0,0.444,0.556,0.3612
0.19,0.525,0.284,0.6172
0.264,0.596,0.14,-0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.172,0.722,0.106,-0.296
0.0,1.0,0.0,0.0
0.277,0.723,0.0,-0.5574
1.0,0.0,0.0,-0.1531
0.0,0.905,0.095,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.611,0.389,0.6249
0.0,0.733,0.267,0.7351
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.623,0.377,0.0,-0.5106
0.464,0.536,0.0,-0.3818
0.0,0.0,1.0,0.4019
0.0,0.69,0.31,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.115,0.656,0.23,0.34
0.277,0.547,0.175,-0.2023
0.0,1.0,0.0,0.0
0.0,0.808,0.192,0.6124
0.261,0.539,0.199,-0.128
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.737,0.263,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.345,0.655,0.0,-0.7845
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.066,0.818,0.116,0.3818
0.0,1.0,0.0,0.0
0.0,0.575,0.425,0.8232
0.0,1.0,0.0,0.0
0.0,0.856,0.144,0.4973
0.423,0.577,0.0,-0.6808
0.0,0.524,0.476,0.5473
0.323,0.396,0.281,-0.0775
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.803,0.197,0.4019
0.109,0.577,0.314,0.4939
0.0,1.0,0.0,0.0
0.524,0.476,0.0,-0.5106
1.0,0.0,0.0,-0.4019
0.0,0.423,0.577,0.6249
0.0,1.0,0.0,0.0
0.437,0.563,0.0,-0.7351
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.106,0.699,0.195,0.4404
0.0,1.0,0.0,0.0
0.163,0.837,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.423,0.577,0.0,-0.296
0.0,1.0,0.0,0.0
0.333,0.667,0.0,-0.3612
0.0,0.756,0.244,0.4404
0.0,0.595,0.405,0.9565
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.18,0.82,0.0,-0.296
0.338,0.308,0.354,0.0258
0.248,0.752,0.0,-0.5106
0.623,0.377,0.0,-0.5106
0.0,0.769,0.231,0.7506
0.619,0.381,0.0,-0.7579
0.452,0.548,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.636,0.364,0.852
0.773,0.227,0.0,-0.7783
0.0,0.526,0.474,0.4019
0.292,0.708,0.0,-0.5106
0.095,0.511,0.394,0.6249
0.0,1.0,0.0,0.0
0.0,0.263,0.737,0.6808
0.0,1.0,0.0,0.0
0.565,0.435,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.731,0.269,0.63
0.323,0.417,0.26,-0.1531
0.42,0.58,0.0,-0.4404
0.0,1.0,0.0,0.0
0.344,0.656,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.074,0.597,0.33,0.8402
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.827,0.173,0.5867
0.28,0.381,0.339,0.1027
0.0,0.803,0.197,0.4019
0.0,0.762,0.238,0.5696
0.0,0.649,0.351,0.4019
0.112,0.888,0.0,-0.2263
0.0,0.408,0.592,0.4404
0.398,0.602,0.0,-0.5106
0.0,0.536,0.464,0.1531
0.351,0.649,0.0,-0.4019
0.0,0.526,0.474,0.5574
0.0,0.172,0.828,0.5859
0.0,1.0,0.0,0.0
0.0,0.698,0.302,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.508,0.492,0.4404
0.239,0.761,0.0,-0.296
0.394,0.606,0.0,-0.3818
0.0,0.758,0.242,0.1531
0.0,0.27,0.73,0.4019
0.0,1.0,0.0,0.0
0.209,0.791,0.0,-0.5411
0.0,1.0,0.0,0.0
0.301,0.699,0.0,-0.6486
0.0,0.256,0.744,0.4404
0.524,0.476,0.0,-0.5106
0.203,0.797,0.0,-0.6249
0.0,1.0,0.0,0.0
0.239,0.761,0.0,-0.296
0.19,0.493,0.317,0.7301
0.0,0.635,0.365,0.3182
0.0,1.0,0.0,0.0
0.0,0.685,0.315,0.3182
0.0,1.0,0.0,0.0
0.307,0.542,0.151,-0.383
0.0,1.0,0.0,0.0
0.045,0.69,0.266,0.7506
0.0,0.707,0.293,0.4404
0.592,0.408,0.0,-0.4404
0.057,0.567,0.377,0.836
0.0,0.787,0.213,0.4019
0.464,0.536,0.0,-0.3818
0.0,0.833,0.167,0.4939
0.0,1.0,0.0,0.0
0.0,0.827,0.173,0.5574
0.0,1.0,0.0,0.0
0.0,0.58,0.42,0.4404
0.0,1.0,0.0,0.0
0.554,0.446,0.0,-0.7351
0.103,0.76,0.137,0.34
0.722,0.278,0.0,-0.3818
0.079,0.729,0.192,0.357
0.295,0.526,0.179,-0.0258
0.0,1.0,0.0,0.0
0.333,0.667,0.0,-0.3612
0.318,0.682,0.0,-0.1027
0.0,1.0,0.0,0.0
0.0,0.873,0.127,0.4927
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.351,0.649,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.512,0.488,0.0,-0.4939
0.375,0.625,0.0,-0.2023
0.474,0.526,0.0,-0.5574
0.383,0.617,0.0,-0.4767
0.0,0.566,0.434,0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.074,0.798,0.129,0.2023
0.699,0.301,0.0,-0.8519
0.437,0.563,0.0,-0.4767
0.473,0.527,0.0,-0.4005
0.0,1.0,0.0,0.0
0.109,0.891,0.0,-0.4019
0.126,0.874,0.0,-0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.503,0.497,0.7845
0.0,0.796,0.204,0.3182
0.05,0.538,0.412,0.8555
0.0,1.0,0.0,0.0
0.73,0.27,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,0.758,0.242,0.1531
0.0,1.0,0.0,0.0
0.0,0.303,0.697,0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.474,0.526,0.0,-0.4019
0.2,0.615,0.185,-0.0516
0.341,0.659,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.179,0.731,0.09,-0.4019
0.0,1.0,0.0,0.0
0.0,0.924,0.076,0.1027
0.268,0.732,0.0,-0.5106
0.569,0.431,0.0,-0.765
0.416,0.263,0.321,-0.2023
0.0,1.0,0.0,0.0
0.565,0.435,0.0,-0.3818
0.503,0.497,0.0,-0.7964
0.507,0.493,0.0,-0.6348
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.761,0.239,0.765
0.0,1.0,0.0,0.0
0.47,0.53,0.0,-0.6517
0.172,0.394,0.433,0.6486
0.0,1.0,0.0,0.0
0.3,0.33,0.37,0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.727,0.273,0.7579
0.0,0.556,0.444,0.4927
0.0,0.874,0.126,0.3182
0.123,0.877,0.0,-0.1027
0.0,1.0,0.0,0.0
0.574,0.426,0.0,-0.6597
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.126,0.69,0.184,0.25
0.0,1.0,0.0,0.0
0.212,0.788,0.0,-0.6256
0.0,1.0,0.0,0.0
0.324,0.676,0.0,-0.34
0.291,0.709,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,0.853,0.147,0.2263
0.0,0.732,0.268,0.5106
0.219,0.781,0.0,-0.1027
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.803,0.197,0.4019
0.066,0.934,0.0,-0.2808
0.185,0.815,0.0,-0.3612
0.346,0.563,0.091,-0.7096
0.398,0.602,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.46,0.54,0.0,-0.3724
0.0,0.323,0.677,0.2732
0.351,0.649,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.398,0.602,0.0,-0.5106
0.17,0.83,0.0,-0.3089
0.0,1.0,0.0,0.0
0.18,0.82,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.113,0.719,0.168,0.1531
0.351,0.649,0.0,-0.4019
0.412,0.588,0.0,-0.2732
0.208,0.792,0.0,-0.4939
0.113,0.887,0.0,-0.1027
0.0,0.633,0.367,0.4404
0.0,0.69,0.31,0.4019
0.596,0.404,0.0,-0.7096
0.0,1.0,0.0,0.0
0.67,0.33,0.0,-0.7269
0.25,0.75,0.0,-0.4585
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.243,0.368,0.39,0.25
0.0,1.0,0.0,0.0
0.0,0.833,0.167,0.4215
0.0,1.0,0.0,0.0
0.492,0.508,0.0,-0.4404
0.0,0.854,0.146,0.5046
0.0,0.417,0.583,0.6808
0.42,0.58,0.0,-0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.787,0.213,0.4019
0.0,1.0,0.0,0.0
0.231,0.769,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,0.615,0.385,0.3612
0.0,0.805,0.195,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.583,0.417,0.0,-0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.12,0.729,0.151,0.1531
0.348,0.652,0.0,-0.1531
0.405,0.595,0.0,-0.5267
0.0,1.0,0.0,0.0
0.538,0.462,0.0,-0.5423
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.318,0.682,0.0,-0.1027
0.25,0.75,0.0,-0.25
0.0,1.0,0.0,0.0
0.73,0.27,0.0,-0.4019
0.0,1.0,0.0,0.0
0.342,0.658,0.0,-0.3818
0.385,0.615,0.0,-0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.255,0.745,0.0,-0.874
0.211,0.431,0.358,0.5267
0.0,1.0,0.0,0.0
0.0,0.818,0.182,0.4404
0.0,0.727,0.273,0.7579
0.0,0.597,0.403,0.4019
0.0,0.545,0.455,0.3612
0.623,0.377,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,0.426,0.574,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.472,0.528,0.0,-0.7404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.255,0.472,0.274,0.0516
0.0,1.0,0.0,0.0
0.208,0.792,0.0,-0.3875
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.31,0.69,0.0,-0.4019
0.123,0.52,0.357,0.743
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.787,0.213,0.4019
0.265,0.53,0.205,-0.2023
0.778,0.222,0.0,-0.5423
0.124,0.674,0.202,0.1017
0.0,0.859,0.141,0.4215
0.167,0.833,0.0,-0.5267
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.162,0.838,0.0,-0.4019
0.524,0.476,0.0,-0.5106
0.0,0.55,0.45,0.5994
0.163,0.523,0.314,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.58,0.42,0.4404
0.0,0.91,0.09,0.2235
0.0,1.0,0.0,0.0
0.245,0.755,0.0,-0.0772
0.324,0.676,0.0,-0.34
0.0,0.846,0.154,0.4588
0.0,1.0,0.0,0.0
0.688,0.312,0.0,-0.296
0.0,0.732,0.268,0.6697
0.0,1.0,0.0,0.0
0.0,0.732,0.268,0.6697
0.0,0.732,0.268,0.6697
0.0,0.732,0.268,0.6697
0.0,0.615,0.385,0.3612
0.258,0.742,0.0,-0.1877
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.051,0.949,0.0,-0.1027
0.574,0.426,0.0,-0.4019
0.0,0.682,0.318,0.8689
0.262,0.738,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.809,0.191,0.5106
0.0,0.277,0.723,0.7804
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.417,0.583,0.0,-0.6486
0.0,1.0,0.0,0.0
0.0,0.633,0.367,0.4404
0.0,0.87,0.13,0.34
0.0,1.0,0.0,0.0
0.0,0.75,0.25,0.6124
0.0,1.0,0.0,0.0
0.474,0.526,0.0,-0.4019
0.153,0.847,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,0.85,0.15,0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.155,0.845,0.0,-0.3595
0.078,0.815,0.107,0.2023
0.232,0.768,0.0,-0.2755
1.0,0.0,0.0,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.442,0.558,0.6197
0.355,0.645,0.0,-0.5106
0.0,1.0,0.0,0.0
0.147,0.684,0.168,0.34
0.197,0.803,0.0,-0.2411
0.0,0.561,0.439,0.5719
0.0,0.625,0.375,0.34
0.299,0.46,0.241,-0.128
0.293,0.707,0.0,-0.4404
0.0,0.519,0.481,0.7579
0.167,0.833,0.0,-0.3412
0.0,1.0,0.0,0.0
0.0,0.838,0.162,0.4019
0.069,0.931,0.0,-0.1027
0.213,0.646,0.141,-0.2769
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.266,0.734,0.0,-0.4404
0.216,0.784,0.0,-0.296
0.174,0.826,0.0,-0.2755
0.286,0.714,0.0,-0.5574
0.0,1.0,0.0,0.0
0.133,0.748,0.119,-0.0857
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.829,0.171,0.5719
