WORD,COUNT
indihome,2843
yaaa,17
lgi,6
main,20
emel,1
ping,9
200an,3
kangen,4
pake,219
wkwk,29
4,18
asa,16
ga,353
wifi,247
malem2,3
dapet,26
cepat,66
gin,22
ganggu,183
kerja,20
sengaja,7
ambil,13
jam,94
malem,23
siang,31
lot,232
kahh,2
make,18
doang,65
kenape,3
jaring,211
gmne,1
kesini,8
kacau,13
knp,71
suka,39
tb,4
mati,70
heran,15
daftar,24
didelete,1
kaya,46
judol,4
ngedelete,1
weh,6
ni,69
ngapa,16
daerah,35
trs,26
agus,1
gera,3
atuh,4
aya,1
ka,19
lembur,5
abi,1
tos,1
muak,6
ku,44
te,1
stabil,33
capek,29
cerita,11
setan,9
manusia,6
maapin,2
gak,290
nyaman,13
akses,76
internetnya,46
coba,68
konfirmasi,18
dm,278
nomor,119
kendala,74
lokasi,54
biar,98
bantu,144
kece,10
rahasia,6
data,42
jaga,9
makasih,42
dero,7
ak,24
mw,4
vc,1
pacar,7
kek,77
asu,13
kedip,12
merah,81
yaa,45
restart,33
ajaaaaaa,1
anak,99
liat,59
jel,1
bangetttt,6
seru,16
tetep,37
ngejump,1
72,1
200,4
indiehome,7
ubah,15
paket,103
ngga,15
direspon,20
oi,6
normal,10
tangan,15
konsumen,4
lebih,4
3,67
x,5
24,6
rakyat,4
rugi,10
pa,3
mending,34
5,29
sore,33
bulan,41
min,222
ya,8
internet,280
tbtb,13
ilang,32
telkomsel,208
kntol,2
smua,2
hrga,1
mahalll,1
koneksi,57
tai,47
trouble,26
mulu,98
tol,1
ajar,12
xiomie,1
murah,27
notifikasi,2
email,15
domain,8
aneh,19
klik,12
linknya,1
waduhh,3
twitter,22
kakak,35
instagram,2
cs,63
com,2
wifinya,26
massal,5
selesai,20
customer,16
hambat,4
masalah,34
iyaaa,1
aon,1
keburu,2
habis,19
duluan,7
kayak,32
nya,9
reply,8
status,32
this,1
site,1
can,2
t,7
be,1
reached,1
info,62
ngantemi,1
eun,3
tlp,15
call,14
center,10
bot,7
ngasih,20
jawab,4
pasang,100
power,5
modem,28
nyala,27
lampu,39
kelap,5
kelip,6
paru,2
paru2,2
rumah,208
tanyain,2
follow,7
up,21
gatau,14
kak,2
lelet,42
moga,33
ikhtiar,1
najib,1
dkk,2
tolong,3
allah,26
swt,1
wih,1
km,14
mint,3
yh,10
pdhal,4
saudara,3
pke,11
lancar,60
tdk,21
yaelah,3
jelek,101
tau,87
brp,7
kli,2
ngeluh,6
amp,73
solusi,47
cm,12
reset,5
kebiaasan,1
jelee,1
app,26
bumble,1
indikost,1
infoin,37
komplain,32
cepet,25
ntr,1
selang,1
apaaansi,1
bayar,227
trpat,1
gapernah,7
trlat,1
koq,4
hp,46
td,8
jaya,7
kack,2
bener,79
wak,1
kirim,21
lamar,5
alami,3
yuk,68
aduhh,2
kasih,63
detail,29
dibantuin,4
dimilikiya,1
2p,4
myindihome,30
3p,1
stb,14
rubah,2
ampun,7
sinyal,118
mata,14
batin,4
auto,7
mohon,65
tindak,9
lanjut,11
sdh,18
full,12
adil,2
meni,2
raripuh,1
kie,1
gusti,1
gajelas,15
bgtt,5
kirik,1
wkkw,2
sebut,2
2,86
unstable,1
mental,1
1,66
switch,4
form,3
access,4
admin,35
ajg,9
bgst,4
baca,35
pesan,5
via,32
whatsapp,13
gabisa,56
bapuk,17
transfer,2
rate,1
tirun,1
parah,44
pindah,31
cippp,1
wkwkwk,15
sederhana,6
sebenernya,7
kang,3
kominfo,1
platform,2
lapor,50
web,7
judi,12
online,22
link,25
tutup,12
20,5
panas,10
sumuk,1
putus2,4
bbrp,6
kombo,2
esmosi,1
indigo,11
terbit,1
nunggu,17
sebjbbase,1
wal,1
plus,9
luas,5
musim,5
kemarau,1
hujan,7
macet,4
mes,1
transportasi,1
bus,2
trans,2
kota,30
kereta,1
api,1
bakar,2
hutan,2
polusi,2
sampe,70
negara,4
tetangga,14
jan,2
gamashokk,1
blass,1
sumpah,24
apas,2
duh,7
kesi,1
teteh,1
hari,36
bikin,3
kesel,14
lama2,7
ontrok,1
bareng,8
teh,4
anjayy,1
ikut,11
trend,1
emng,9
keluh,31
csnya,6
perfomanya,1
turun,8
yak,7
chat,15
dibalesnya,2
8,8
menit,16
dibales,13
bales,43
pelan,4
dooo,1
e,13
durung,1
paliing,1
eror,35
begimana,2
astaga,5
jovan,5
foto,17
load,1
mytelkomsel,20
duuuh,1
maaf,35
gw,96
bjir,14
downgrade,6
saking,3
layanyannya,1
nutup,2
kolom,3
komentar,4
busuk,16
sempet2nya,1
ngetwit,1
sok,3
asik,3
cuihhhh,1
gapapa,4
sayang,14
hidup,2
aman,21
gaada,28
hpmu,1
buang,2
channel,44
kualitas,13
kurang,6
natgeo,6
people,2
animal,2
ganti,81
mskpun,1
dmkian,1
biaya,31
dpt,10
kompensasi,5
tsb,3
buka,58
afc,1
tlc,1
terima,40
bom,13
bayarr,1
kaa,4
sblm,1
cek,110
aplikasiny,1
dlu,6
sistem,6
dad,1
jokes,3
sobat,41
indihomebytelkomsel,56
bersatulebihmudah,90
kasi,7
ngomong,6
flop,2
hri,1
insyaallah,1
urun,1
cari,28
30,10
50,8
page,2
akun,47
medsos,3
dll,2
podo,1
ae,4
citranet,1
besok,27
10,25
oktober,14
langgan,184
setia,10
cuanhepi,3
kejut,2
tukar,8
poin,17
siap,4
diskon,16
tarik,6
sob,5
putry,14
dafy,1
mu,7
youtube,15
lambat,23
respon,63
why,4
layan,140
jalan,4
telpon,22
pulsa,15
alemong,1
abisin,1
gilir,20
kabel,59
rapihkan,1
tempat,8
sampah,7
males,10
anjinkkkk,1
butut,6
laknat,1
500,5
anjign,1
isi,11
izin,4
situs,7
aktivitas,5
langgar,1
hukum,2
non,3
politik,1
community,1
managernya,1
prioritas,1
law,1
enforcement,1
input,2
gercep,10
biznett,1
knapa,1
akhir2,5
karna,27
ulah,14
anjg,8
perkara,1
kudu,8
pulang,11
laporin,1
ngapain,5
tgl,23
wkt,2
lurah,9
camat,16
frey,12
los,49
tiba,4
privasi,2
huhu,7
dh,6
kost,5
terooozzz,1
yeyy,1
doi,3
biznet,42
lhakok,1
router,15
jadulll,1
wes,3
normall,1
gaiisss,1
ehhh,1
hai,10
play,11
ketidaknyamanannya,6
informasi,13
mimin,21
trims,4
ad,8
bener2,13
nguji,3
sabar,22
oke,10
rada2,2
kuota,17
pribadi,6
jg,51
ngefek,2
wkwkw,10
guna,21
mnc,8
batas,8
kendara,3
motor,6
temu,2
fo,1
hitam,1
juntai,2
raya,5
gtu,2
bantuin,11
error,48
beda,18
clear,9
cache,6
update,15
versi,5
baru,10
telkomselnya,4
bete,8
john,1
tagih,110
relasi,27
milik,33
nugi,9
jaman,5
ngontrak,1
omah,1
neng,9
wetan,1
jembatan,3
liwat,1
kono,2
bar,4
12,17
an,22
ngroso,1
wae,3
ono,2
sak,4
wayah,1
konco,2
nunut,1
turu,1
nggonanku,1
lha,1
ndilalah,1
ngliwati,1
njuk,1
njenggirat,1
wonge,1
keweden,1
semenjak,7
pakai,63
device,7
udahlah,1
sauna,1
aaaahhhhhhh,1
halo,83
sobiz,2
indibiz,10
bisnis,5
geser,1
lengkap,24
indibizyogya,2
ekosistemsolusiduniausahaindonesia,2
ciptakanpeluangwujudkanharapan,2
nyetel,1
netflix,22
hey,3
hubung,34
tpi,6
wkwkwkw,4
upaya,1
upgrade,13
mbps,16
portal,2
sscasn,1
harga,25
jerih,1
payah,6
plisssss,1
kentut,1
terus,4
ih,8
sihhh,4
terussss,2
jeonghan,1
kmn,1
sieee,1
lupa,15
autopay,1
woi,17
apaansi,2
maen,2
pc,6
trus,33
kosan,3
klo,52
100an,1
jual,11
mahal,47
gamau,3
sepi,3
tambah,10
pilih,17
orang,6
zaman,5
lamaa,4
android,7
ios,1
buset,9
daahh,2
terimakasih,16
spreedsheet,1
sj,3
gk,37
ujung2nya,2
ip,6
address,1
sembunyi,1
cloudflare,6
sales,17
kasar,1
bangett,11
sopan,3
ngatain,1
bodoh,2
tolol,9
bandung,3
hallo,29
nanya,17
kecup,1
kenapaaa,2
mama,3
susah,21
war,5
belanja,1
siapin,3
senjata,1
inceran,1
check,3
out,4
speed,21
on,6
demand,1
rp,5
45,1
000,4
saksi,26
not,5
others,1
tvn,2
tv,154
minipack,8
indikorea,1
nikmat,39
streaming,38
aplikasi,88
login,41
bukasemuapeluang,76
notothers,1
kontol,16
rusak,9
mie,1
rebus,1
varian,1
ayam,1
kuning,1
i,4
think,1
am,1
done,1
with,1
provider,46
kuliner,2
beli,17
skincare,2
penasaran,16
tsel4u,3
internetpastiterkoneksi,8
pamasukamelesatmelampauibatas,8
bisikin,2
kisi,4
indihomeborneo,17
mention,13
loker,8
2023,21
pt,5
infomedia,2
nusantara,2
lowong,2
force,6
sila,5
cv,2
lokersales,1
lokersalesindihome,1
tantrumnya,1
udahan,1
miiiiin,1
telepon,13
kantor,30
engga,16
dipake,28
panggil,8
yahh,1
dibenerin,6
kemaren,33
thankyou,2
kenapasihhh,1
nang,9
ken,14
grapari,7
lebar,1
300,2
dua,1
adek,8
serius,7
tokopedia,1
seller,1
suport,2
area,23
bg,4
bagus,31
alwi,1
mungkin,1
adekmu,1
wa,33
balas,33
israel,1
koran,1
kompas,1
ngelunjak,1
cpns,1
bahasa,2
khilaf,1
wp,1
brothership,1
horor,3
benci,5
adeknya,2
ortu,2
mokad,1
happy,4
ending,1
tunawicara,1
sakit,14
blh,2
ksh,1
tw,2
please,12
connect,11
keren,46
pegawai,9
jdi,9
ngurusin,4
paspampres,1
janji,9
dluan,1
jd,34
jadwal,5
atas,6
promo,20
jitu,12
laku,9
31,1
desember,1
cocok,3
myrepublic,17
firstmedia,4
maintenance,9
niat,5
indikator,12
banyak,11
ngantor,5
bapak,2
bocor,3
dikit,12
tukang,9
keran,2
manggil,7
hadeuh,2
catet,2
pamer,3
ilmu,2
pascabayar,2
prabayar,1
freedom,1
terusss,6
punya,5
ahri,1
indo,4
sekolah,5
hogwarts,1
murid,3
dukun,5
kita,1
muggle,2
begitu,2
ma,1
aallah,1
mantap,8
minimal,6
ngemirror,1
jangkau,11
lbh,2
hayuuu,1
hancurrrrrkann,1
tnya,1
pindahin,2
ruang,2
belah,6
kena,28
walah,1
putus,60
nyambung,17
complain,6
ruamah,1
permisi,3
henti,46
indihom,3
asli,18
tijel,1
lola,3
poll,1
palu,1
down,11
tlkomsel,1
im3,2
sma,3
xl,16
wanjir,1
hotspot,5
tuhan,6
kembali,4
medan,3
tenang,14
milzam,1
indihomenya,9
alamat,34
lunas,21
kunci,3
thank,5
u,7
istilah,2
kadang,16
bingung,8
pusing,8
ngerti,4
ikutin,4
dipenuhin,2
mindfulness,2
untung,18
teknisi,58
sedih,8
tanggung,4
crosscheck,1
cantum,2
benar2,5
takut,12
iseng,2
website,4
salah,7
korban,2
ngebug,2
cu,1
indomaret,1
mas,16
isolir,17
shopee,5
film,17
buat,2
juta,3
dollar,1
orbit,10
anjirrr,4
njir,5
ny,5
kejer,1
tahan,3
oyi,2
pakis,1
first,19
media,21
rep,3
ramal,1
nikah,2
umur,3
26,4
25,6
nasib,1
ind,1
home,7
taiii,1
ngeselin,8
backup,1
gsheet,1
regularly,1
in,13
case,3
delete,1
sprtinya,1
alih,11
cc,4
gembel,5
bijak,6
resah,1
muncull,1
whyy,1
tunggu,22
kanal,2
resmi,6
contact,3
centre,2
guyss,1
188,8
ig,3
fb,2
fan,1
htwtps,1
ww,1
co,2
id,10
indita,1
pakistan,1
ekstrim,1
miiin,1
gesit,1
laah,1
sobatkom,2
adu,10
periksa,3
bukti,4
konten,5
negatif,2
ditindaklanjuti,2
prosedur,8
op,1
random,1
neuvi,1
amuk,2
6,14
15,6
uji,5
kmrn,10
tlg,8
assalamualaikum,1
selamat,34
jl,4
dago,1
09,2
03,1
kelr,1
makasar,2
kec,4
jakarta,1
timur,4
13570,1
byar,2
pet,1
silang,1
drop,1
mhn,3
perhati,4
pagi2,3
kbetulan,1
and,2
marak,1
sms,3
promote,1
url,1
operator,2
block,7
dsh,1
spt,4
fakta,2
link2,1
regulasi,1
rekening,2
afiliasi,1
sulit,12
masyarakat,5
depo,1
metode,4
akal,1
blokir,8
gabakal,1
lindung,3
balik,1
yakali,1
blacklist,2
gampang,18
tembus,1
dns,2
harusnaya,1
ngelacak,1
nik,1
kk,3
ngelawannya,1
gt,27
register,3
bahan,1
bpjs,2
ovo,2
tokped,1
1000,4
buffering,7
anjir,31
kocak,4
file,3
buru,7
ciduk,1
pikir,11
ooh,1
jangan2,4
nolong,1
kira2,3
lawan,4
indonesia,16
berantas,2
amayy,1
dah,8
terhmbat,1
gegara,14
gwe,2
kgn,1
biss,1
ml,2
spiral,1
abyss,1
urus,9
waras,3
sebentar,2
disclaimer,1
kutu,1
yes,1
it,4
s,12
curse,1
have,1
three,1
eyes,1
krn,23
lihat,10
togel,1
enak,25
mayan,1
nyicil,1
darah,4
ko,9
ngesevisnya,1
lcd,1
antena,1
sirik,1
dengkiwifiny,1
potong,8
memek,3
wifiiii,1
lg,55
ngambek,1
gjls,2
gform,2
orang2,6
submit,2
sumatizen,1
ngumpul,2
giveaway,5
minsum,2
wajib,3
syarat,9
tentu,3
ges,3
menangin,1
hadiah,3
menang,9
umum,3
16,2
23,4
best,2
luck,2
giveaways,1
giveawayalert,1
time,2
ngape,3
ainun,1
saran,11
gdocsnys,1
public,2
khawatir,10
disalahgunakan,1
promosi,2
submitnya,1
marah2,4
anj,8
dunia,5
tuh,38
fastres,1
rasya,18
fajar,1
sehat,18
dadak,2
kaga,18
sembuh2,1
lolanya,1
1mbps,1
percayain,1
wkwkwkwk,3
lawak,1
anjing,15
banyak2in,1
setip,1
tisu,1
vs,3
usn,1
pass,3
bawa,5
mudah,26
berkah,1
kadar,1
badmoodku,1
hasil,13
ngelist,1
tumbuh,3
terbackup,1
butuh,17
recovery,1
siap2,1
serang,1
mafia,1
diblock,1
tulis,9
ngajak,11
antem,4
bzir,1
punten,1
spreadsheet,1
editable,2
database,1
internal,2
risiko,1
acak,3
lewat,4
malam,41
nonton,61
download,17
vidio,15
apps,21
store,13
menu,6
layar,9
